no,before,after,diff,count
1,3,2,1,1
2,5,3,2,3424857
4,11,7,4,3425009
9,29,23,6,6090391
24,97,89,8,2695368
30,127,113,14,2464805
34,149,139,10,3485124
46,211,199,12,4469402
99,541,523,18,3351358
154,907,887,20,1824233
189,1151,1129,22,1569832
217,1361,1327,34,719597
263,1693,1669,24,2367724
282,1847,1831,16,1846298
367,2503,2477,26,1119698
429,2999,2971,28,1219356
590,4327,4297,30,2178218
738,5623,5591,32,683974
1183,9587,9551,36,1171656
1831,15727,15683,44,389677
1879,16183,16141,42,954552
2191,19373,19333,40,648829
2225,19661,19609,52,245824
3077,28277,28229,48,577299
3302,30631,30593,38,548788
3385,31469,31397,72,126676
3427,31957,31907,50,328104
3644,34123,34061,62,115563
3793,35671,35617,54,410795
4522,43391,43331,60,371885
4612,44351,44293,58,181974
7970,81509,81463,46,334748
8028,82129,82073,56,211486
8688,89753,89689,64,118963
12542,134581,134513,68,88406
14357,156007,155921,86,27798
14862,162209,162143,66,216801
15783,173429,173359,70,125583
17006,188107,188029,78,105323
19026,212777,212701,76,55117
23283,265703,265621,82,37989
30802,360749,360653,96,31082
31545,370373,370261,112,7139
33608,396833,396733,100,16903
34202,404671,404597,74,62528
34215,404941,404851,90,58063
38590,461801,461717,84,78082
40933,492227,492113,114,10892
44773,542683,542603,80,53526
44903,544367,544279,88,28882
49414,604171,604073,98,16175
73321,927961,927869,92,19285
85633,1098953,1098847,106,8722
85787,1101071,1100977,94,17671
103520,1349651,1349533,118,4502
104071,1357333,1357201,132,3510
106286,1388587,1388483,104,10311
110224,1444411,1444309,102,22393
111924,1468387,1468277,110,9067
126172,1671907,1671781,126,5863
141718,1895479,1895359,120,9622
149689,2010881,2010733,148,724
165326,2238931,2238823,108,15461
224659,3117421,3117299,122,2976
271743,3826157,3826019,138,2590
273413,3851587,3851459,128,2044
325852,4652507,4652353,154,583
381995,5518817,5518687,130,2813
402884,5845309,5845193,116,4711
415069,6034393,6034247,146,669
436612,6371537,6371401,136,1297
460883,6752747,6752623,124,3136
474029,6958801,6958667,134,1487
515910,7621399,7621259,140,1516
566214,8421403,8421251,152,506
685903,10343903,10343761,142,953
786922,11981587,11981443,144,1555
887313,13626407,13626257,150,1487
1094421,17051887,17051707,180,200
1150400,17983873,17983717,156,799
1287544,20285263,20285099,164,247
1319945,20831533,20831323,210,48
1736516,27915907,27915737,170,198
2078068,33803849,33803689,160,360
2219883,36271783,36271601,182,80
2279181,37305881,37305713,168,443
2324140,38089453,38089277,176,128
2341680,38394299,38394127,172,158
2386432,39175379,39175217,162,534
2398788,39390167,39389989,178,106
2775456,46006967,46006769,198,73
2850174,47326913,47326693,220,12
2959782,49269739,49269581,158,306
3154380,52721287,52721113,174,255
4140009,70396589,70396393,196,41
4623702,79167917,79167733,184,89
4875380,83751287,83751121,166,182
6169832,107534789,107534587,202,23
6416467,112099021,112098817,204,46
6957876,122164969,122164747,222,11
7027147,123454883,123454691,192,74
7595444,134066017,134065829,188,33
8040878,142414859,142414669,190,63
8321465,147684323,147684137,186,101
9330121,166726561,166726367,194,32
10539432,189695893,189695659,234,13
10655462,191913031,191912783,248,4
10711737,192984059,192983851,208,18
11212381,202551883,202551667,216,15
11911710,215949619,215949407,212,12
11949206,216668839,216668603,236,5
12768473,232424029,232423823,206,13
13879771,253878617,253878403,214,11
17681799,327966319,327966101,218,6
19710938,367876771,367876529,242,4
20226285,378044179,378043979,200,28
20684332,387096383,387096133,250,4
20931911,391995671,391995431,240,5
21833975,409866547,409866323,224,6
23163298,436273291,436273009,282,1
27335370,519653597,519653371,226,6
27623436,525436721,525436489,232,1
29101114,555142307,555142061,246,4
31671709,607010323,607010093,230,3
32809470,630045389,630045137,252,1
33772762,649580447,649580171,276,1
34971241,673919381,673919143,238,1
35914201,693103883,693103639,244,2
45808557,895858267,895858039,228,3
48150537,944193067,944192807,260,1
